id,company_id,job_no,guide_id,agent_id,business_type,car_type,car_licence_plate,tour_reserve_id,tour_amount,addon_amount,prompt_pay_amount,fee_amount,total_amount,payment_id,payment_no,parking_id,person_total,is_pay,is_pay_date,is_pay_by,job_order,pay_history_id,pay_history_agent_id,is_coupon,remark,create_year,create_month,rate_prompt_pay,source_bank,create_date,create_by,create_by_type,update_date,update_by,update_by_type,cancel_date,cancel_by,cancel_by_type,checkout_date,checkout_by,is_checkout,remark_change_data,old_tour_tx_id,business_type_other,remark_reserve_tour,job_order_image_url,load_timestamp,business_date
155980,9,BJ241113155980,8268,2180,2,1,345149,155063,150.0,0.0,5.0,0.0,155.0,0,,1,11,0,,,01136731,0,0,0,,2024,11,3,,2024-11-13 15:50:05.103000,7745,backoffice,,,,,,,,,0,,0,0,,,2024-11-17 07:54:51.000000,2024-11-17
155981,9,BJ241113155981,5529,2180,2,1,340404,155065,150.0,0.0,5.0,0.0,155.0,0,,1,9,0,,,01136740,0,0,0,,2024,11,3,,2024-11-13 16:03:18.473000,7745,backoffice,,,,,,,,,0,,0,0,,,2024-11-17 07:54:51.000000,2024-11-17
155982,9,BJ241113155982,5529,2180,2,1,343830,155064,150.0,0.0,5.0,0.0,155.0,0,,1,9,0,,,01136740,0,0,0,,2024,11,3,,2024-11-13 16:03:21.017000,7745,backoffice,,,,,,,,,0,,0,0,,,2024-11-17 07:54:51.000000,2024-11-17
155983,9,BJ241113155983,1468,2180,2,1,300893,155066,150.0,0.0,5.0,0.0,155.0,0,,1,11,0,,,01135693,0,0,0,,2024,11,3,,2024-11-13 16:03:39.740000,7745,backoffice,,,,,,,,,0,,0,0,,,2024-11-17 07:54:51.000000,2024-11-17
155984,9,BJ241113155984,1468,2180,2,1,320211,155067,150.0,0.0,5.0,0.0,155.0,0,,1,12,0,,,01136693,0,0,0,,2024,11,3,,2024-11-13 16:03:44.407000,7745,backoffice,,,,,,,,,0,,0,0,,,2024-11-17 07:54:51.000000,2024-11-17
155985,9,BJ241113155985,9453,2180,2,1,330486,155068,150.0,0.0,5.0,0.0,155.0,0,,1,12,0,,,01136753,0,0,0,,2024,11,3,,2024-11-13 16:03:55.900000,7745,backoffice,,,,,,,,,0,,0,0,,,2024-11-17 07:54:51.000000,2024-11-17
155986,9,BJ241113155986,8299,2180,2,1,349335,155069,150.0,0.0,5.0,0.0,155.0,0,,1,12,0,,,01135746,0,0,0,,2024,11,3,,2024-11-13 16:04:00.937000,7745,backoffice,,,,,,,,,0,,0,0,,,2024-11-17 07:54:51.000000,2024-11-17
155987,9,BJ241113155987,8172,2180,2,1,344696,155070,150.0,0.0,5.0,0.0,155.0,0,,1,12,0,,,01136742,0,0,0,,2024,11,3,,2024-11-13 16:04:56.797000,7745,backoffice,,,,,,,,,0,,0,0,,,2024-11-17 07:54:51.000000,2024-11-17
155988,9,BJ241113155988,8172,2180,2,1,333548,155071,150.0,0.0,5.0,0.0,155.0,0,,1,12,0,,,01136742,0,0,0,,2024,11,3,,2024-11-13 16:05:03.560000,7745,backoffice,,,,,,,,,0,,0,0,,,2024-11-17 07:54:51.000000,2024-11-17
155989,9,BJ241113155989,9205,2180,2,1,332185,155072,150.0,0.0,5.0,0.0,155.0,0,,1,12,0,,,01136730,0,0,0,,2024,11,3,,2024-11-13 16:05:35.090000,7745,backoffice,,,,,,,,,0,,0,0,,,2024-11-17 07:54:51.000000,2024-11-17
155990,9,BJ241113155990,1708,2180,2,1,345658,155073,150.0,0.0,5.0,0.0,155.0,0,,1,11,0,,,01135743,0,0,0,,2024,11,3,,2024-11-13 16:05:53.457000,7745,backoffice,,,,,,,,,0,,0,0,,,2024-11-17 07:54:51.000000,2024-11-17
155991,9,BJ241113155991,9784,2180,2,2,345408,155074,150.0,0.0,5.0,0.0,155.0,0,,1,19,0,,,01135747,0,0,0,,2024,11,3,,2024-11-13 16:06:00.590000,7745,backoffice,,,,,,,,,0,,0,0,,,2024-11-17 07:54:51.000000,2024-11-17
155992,9,BJ241113155992,8423,2180,2,1,338313,155075,150.0,0.0,5.0,0.0,155.0,0,,1,12,0,,,01136750,0,0,0,,2024,11,3,,2024-11-13 16:06:13.580000,7745,backoffice,,,,,,,,,0,,0,0,,,2024-11-17 07:54:51.000000,2024-11-17
155993,9,BJ241113155993,504,311,2,2,337354,155076,150.0,0.0,5.0,0.0,155.0,0,,1,14,0,,,492,0,0,0,,2024,11,3,,2024-11-13 16:31:35.780000,7745,backoffice,,,,,,,,,0,,0,0,,,2024-11-17 07:54:51.000000,2024-11-17
155994,9,BJ241113155994,642,107,2,1,325172,155077,150.0,0.0,5.0,0.0,155.0,0,,1,9,0,,,14/01760,0,0,0,,2024,11,3,,2024-11-13 16:34:45.543000,7745,backoffice,,,,,,,,,0,,0,0,,,2024-11-17 07:54:51.000000,2024-11-17
155995,9,BJ241113155995,453,906,2,2,337347,155078,150.0,0.0,5.0,0.0,155.0,0,,1,25,0,,,24100,0,0,0,,2024,11,3,,2024-11-13 17:29:17.170000,7745,backoffice,,,,,,,,,0,,0,0,,,2024-11-17 07:54:51.000000,2024-11-17
155996,9,BJ241113155996,769,906,2,2,339203,155079,150.0,0.0,5.0,0.0,155.0,0,,1,26,0,,,241109,0,0,0,,2024,11,3,,2024-11-13 17:30:39.593000,7745,backoffice,,,,,,,,,0,,0,0,,,2024-11-17 07:54:51.000000,2024-11-17
155997,9,BJ241113155997,305,2619,2,2,338290,155080,150.0,0.0,5.0,0.0,155.0,0,,1,29,0,,,12112024,0,0,0,รอยัล วาเคชั่น จำกัด ,2024,11,3,0.0,2024-11-13 17:44:18.210000,7745,backoffice,2024-11-15 11:22:51.223000,5234.0,backoffice,,,,,,0,,0,0,,,2024-11-17 07:54:51.000000,2024-11-17
154847,9,BJ241002154847,736,2627,2,2,337354,153933,150.0,0.0,5.0,0.0,155.0,0,,1,27,0,,,240930,0,0,0,เกอมิลัง ทราเวล แอนด์ ทัวร์ เซอร์วิส,2024,10,3,0.0,2024-10-02 15:34:41.640000,7745,backoffice,2024-11-15 11:39:10.317000,5234.0,backoffice,,,,,,0,,0,0,,,2024-11-17 07:54:51.000000,2024-11-17
154895,9,BJ241004154895,1976,0,2,1,337526,153981,150.0,0.0,5.0,0.0,155.0,0,,1,6,0,,,2405811,0,0,0,บีซีที 2022 จำกัด,2024,10,3,0.0,2024-10-04 17:17:57.080000,7745,backoffice,2024-11-15 11:37:51.460000,5234.0,backoffice,,,,,,0,,0,0,,,2024-11-17 07:54:51.000000,2024-11-17
155023,9,BJ241010155023,1551,823,2,2,336209,154109,150.0,0.0,5.0,0.0,155.0,0,,1,20,0,,,11/0072,0,15246,0,,2024,10,3,0.0,2024-10-10 17:22:07.443000,7745,backoffice,2024-11-14 16:13:24.890000,7745.0,backoffice,,,,,,0,,0,0,,,2024-11-17 07:54:51.000000,2024-11-17
155071,9,BJ241012155071,404,2621,2,1,319832,154157,150.0,0.0,5.0,0.0,155.0,0,,1,6,0,,,2024-309,0,0,0,เคที ทัวร์ ทราเวล,2024,10,3,0.0,2024-10-12 19:25:40.103000,7745,backoffice,2024-11-15 11:27:30.723000,5234.0,backoffice,,,,,,0,,0,0,,,2024-11-17 07:54:51.000000,2024-11-17
155072,9,BJ241012155072,404,2621,2,1,319152,154158,150.0,0.0,5.0,0.0,155.0,0,,1,6,0,,,2024-309,0,0,0,เคที ทัวร์ ทราเวล,2024,10,3,0.0,2024-10-12 19:25:55.690000,7745,backoffice,2024-11-15 11:27:19.383000,5234.0,backoffice,,,,,,0,,0,0,,,2024-11-17 07:54:51.000000,2024-11-17
155090,9,BJ241013155090,1279,1485,2,2,335672,154176,150.0,0.0,0.0,0.0,150.0,0,,1,44,0,,,001,0,0,0,ไททราเวลพลัส,2024,10,0,0.0,2024-10-13 16:47:50.643000,7745,backoffice,2024-11-15 11:35:40.467000,5234.0,backoffice,,,,,,0,,0,0,,,2024-11-17 07:54:51.000000,2024-11-17
155112,9,BJ241013155112,1720,2625,2,1,300209,154198,150.0,0.0,5.0,0.0,155.0,0,,1,7,0,,,D29092024128,0,0,0,โอทีโอ ทริป เซอร์วิส ,2024,10,3,0.0,2024-10-13 19:13:08.787000,7745,backoffice,2024-11-15 11:34:51.647000,5234.0,backoffice,,,,,,0,,0,0,,,2024-11-17 07:54:51.000000,2024-11-17
155133,9,BJ241014155133,420,2611,2,1,ฮษ2457,154219,150.0,0.0,5.0,0.0,155.0,0,,1,11,0,,,A78R34727,0,0,0,วันเดอ สยาม จำกัด ,2024,10,3,0.0,2024-10-14 17:26:50.357000,7745,backoffice,2024-11-15 11:05:50.000000,5234.0,backoffice,,,,,,0,,0,0,,,2024-11-17 07:54:51.000000,2024-11-17
155168,9,BJ241015155168,313,2621,2,2,322355,154254,150.0,0.0,5.0,0.0,155.0,0,,1,39,0,,,2024-337,0,0,0,เคที ทัวร์ ทราเวล,2024,10,3,0.0,2024-10-15 18:25:27.733000,7745,backoffice,2024-11-15 11:27:05.080000,5234.0,backoffice,,,,,,0,,0,0,,,2024-11-17 07:54:51.000000,2024-11-17
155185,9,BJ241016155185,218,2624,2,1,ฮก8326,154269,150.0,0.0,5.0,0.0,155.0,0,,1,5,0,,,425,0,0,0,กริซ ฮอลิเดย์ ,2024,10,3,0.0,2024-10-16 17:15:00.780000,7745,backoffice,2024-11-15 11:33:21.660000,5234.0,backoffice,,,,,,0,,0,0,,,2024-11-17 07:54:51.000000,2024-11-17
155186,9,BJ241016155186,218,2624,2,1,300853,154270,150.0,0.0,5.0,0.0,155.0,0,,1,6,0,,,425,0,0,0,กริซ ฮอลิเดย์ ,2024,10,3,0.0,2024-10-16 17:15:14.363000,7745,backoffice,2024-11-15 11:32:53.620000,5234.0,backoffice,,,,,,0,,0,0,,,2024-11-17 07:54:51.000000,2024-11-17
155190,9,BJ241017155190,6075,2623,2,1,1นง6313,154274,150.0,0.0,5.0,0.0,155.0,0,,1,8,0,,,10-VIVIEN2024,0,0,0,เอเอเอ ทราเวล แอนด์ ทัวร์ ,2024,10,3,0.0,2024-10-17 11:51:25.313000,7745,backoffice,2024-11-15 11:31:02.773000,5234.0,backoffice,,,,,,0,,0,0,,,2024-11-17 07:54:51.000000,2024-11-17
155217,9,BJ241017155217,12,2622,2,2,344319,154301,150.0,0.0,5.0,0.0,155.0,0,,1,14,0,,,14/03453,0,0,0,อัลไพท ทัวร์ริสม์ ,2024,10,3,0.0,2024-10-17 17:29:27.497000,7745,backoffice,2024-11-15 11:29:15.763000,5234.0,backoffice,,,,,,0,,0,0,,,2024-11-17 07:54:51.000000,2024-11-17
155245,9,BJ241018155245,313,2621,2,1,319832,154328,150.0,0.0,5.0,0.0,155.0,0,,1,7,0,,,2024-327,0,0,0,เคที ทัวร์ ทราเวล ,2024,10,3,0.0,2024-10-18 18:04:44.797000,7745,backoffice,2024-11-15 11:26:36.257000,5234.0,backoffice,,,,,,0,,0,0,,,2024-11-17 07:54:51.000000,2024-11-17
155246,9,BJ241019155246,876,2620,2,2,32-3140,154329,150.0,0.0,5.0,0.0,155.0,0,,1,18,0,,,TLCL/AK2408861,0,0,0,ทราเวล ลักซิส,2024,10,3,0.0,2024-10-19 11:41:05.880000,7745,backoffice,2024-11-15 11:25:08.110000,5234.0,backoffice,,,,,,0,,0,0,,,2024-11-17 07:54:51.000000,2024-11-17
155257,9,BJ241019155257,8939,2618,2,1,33-5066,154340,150.0,0.0,5.0,0.0,155.0,0,,1,15,0,,,23/2825,0,0,0,อุดมพร ทัวร์,2024,10,3,0.0,2024-10-19 15:25:49.470000,7745,backoffice,2024-11-15 11:20:43.823000,5234.0,backoffice,,,,,,0,,0,0,,,2024-11-17 07:54:51.000000,2024-11-17
155267,9,BJ241019155267,1723,2611,2,1,7326,154350,150.0,0.0,5.0,0.0,155.0,0,,1,10,0,,,14/03720,0,0,0,วันเดอ สยาม จำกัด,2024,10,3,0.0,2024-10-19 18:22:26.960000,7745,backoffice,2024-11-15 11:06:11.700000,5234.0,backoffice,,,,,,0,,0,0,,,2024-11-17 07:54:51.000000,2024-11-17
155279,9,BJ241020155279,126,2547,2,2,339050,154363,150.0,0.0,5.0,0.0,155.0,0,,1,33,0,,,101724A2,0,0,0,สมาย ฮอลิเดย์ ทัวร์ แอนด์ ทราเวล(ประเทศไทย),2024,10,3,0.0,2024-10-20 15:34:33.440000,7745,backoffice,2024-11-15 11:19:01.720000,5234.0,backoffice,,,,,,0,,0,0,,,2024-11-17 07:54:51.000000,2024-11-17
155318,9,BJ241021155318,499,2617,2,1,344575,154401,150.0,0.0,5.0,0.0,155.0,0,,1,9,0,,,1402439-670,0,0,0,เอเชียเชน,2024,10,3,0.0,2024-10-21 17:56:54.100000,7745,backoffice,2024-11-15 11:17:45.413000,5234.0,backoffice,,,,,,0,,0,0,รถเข้าวันที่ 20/10/67 เอกสารอยู่ที่เคานเตอร์ ไม่ได้ทำการลงระบบ,,2024-11-17 07:54:51.000000,2024-11-17
155354,9,BJ241023155354,1815,2616,2,2,342391,154437,150.0,0.0,5.0,0.0,155.0,0,,1,47,0,,,75,0,0,0,เวีย ฮอลิเดย์ (ไทยแลนด์) ,2024,10,3,0.0,2024-10-23 13:37:20.570000,5234,backoffice,2024-11-15 11:15:44.893000,5234.0,backoffice,,,,,,0,,0,0,,,2024-11-17 07:54:51.000000,2024-11-17
155998,9,BJ241113155998,740,541,2,2,314171,155081,150.0,0.0,5.0,0.0,155.0,0,,1,13,0,,,111017,0,0,0,,2024,11,3,,2024-11-13 17:44:28.840000,7745,backoffice,,,,,,,,,0,,0,0,,,2024-11-17 07:54:51.000000,2024-11-17
155999,9,BJ241113155999,303,2180,2,2,345363,155082,150.0,0.0,5.0,0.0,155.0,0,,1,18,0,,,01136713,0,0,0,,2024,11,3,,2024-11-13 18:17:17.683000,7745,backoffice,,,,,,,,,0,,0,0,,,2024-11-17 07:54:51.000000,2024-11-17
156000,9,BJ241113156000,9508,955,2,2,340613,155083,150.0,0.0,5.0,0.0,155.0,0,,1,17,0,,,1110,0,0,0,,2024,11,3,,2024-11-13 18:28:00.860000,7745,backoffice,,,,,,,,,0,,0,0,,,2024-11-17 07:54:51.000000,2024-11-17
156001,9,BJ241113156001,8546,2485,2,1,ฮฐ4295,155084,150.0,0.0,5.0,0.0,155.0,0,,1,9,0,,,241111,0,0,0,,2024,11,3,,2024-11-13 18:52:30.853000,7745,backoffice,,,,,,,,,0,,0,0,,,2024-11-17 07:54:51.000000,2024-11-17
156002,9,BJ241113156002,2221,2180,2,2,328997,155085,150.0,0.0,5.0,0.0,155.0,0,,1,27,0,,,01136714,0,0,0,,2024,11,3,,2024-11-13 19:08:06.007000,7745,backoffice,,,,,,,,,0,,0,0,,,2024-11-17 07:54:51.000000,2024-11-17
156003,9,BJ241113156003,2023,2180,2,2,328366,155086,150.0,0.0,5.0,0.0,155.0,0,,1,26,0,,,01136724,0,0,0,,2024,11,3,,2024-11-13 19:08:21.913000,7745,backoffice,,,,,,,,,0,,0,0,,,2024-11-17 07:54:51.000000,2024-11-17
156004,9,BJ241113156004,9127,2485,2,1,338858,155087,150.0,0.0,5.0,0.0,155.0,0,,1,11,0,,,20241111,0,0,0,,2024,11,3,,2024-11-13 19:49:26.070000,7745,backoffice,,,,,,,,,0,,0,0,,,2024-11-17 07:54:51.000000,2024-11-17
